academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi
2014,1,Harvard,103514,Ivy League,10-7,6.82,7.53,0.885,0.49,29.65,0.602,0.389,,17.53,10.24,9.76,0.94,10.71,0.292,15.24,0.588,,,,,,,,
2014,1,High Point,103560,ASUN,9-7,5.69,8.06,0.843,0.581,31.25,0.774,0.241,,15.31,14.0,9.44,0.19,9.63,0.278,16.31,0.563,,,,,,,,
2014,1,Hobart,103515,NEC,5-10,4.0,6.4,0.823,0.405,24.87,0.633,0.333,,12.67,11.27,10.4,-1.73,8.67,0.273,13.6,0.333,,,,,,,,
2014,1,Hofstra,103516,CAA,11-5,4.81,6.0,0.868,0.551,28.69,0.571,0.377,,14.38,8.44,8.44,1.13,9.56,0.279,12.06,0.688,,,,,,,,
2014,1,Holy Cross,103517,Patriot,3-12,5.07,5.4,0.832,0.514,27.2,0.585,0.308,,14.13,10.73,13.47,-4.4,9.07,0.252,15.13,0.2,,,,,,,,
2014,1,Jacksonville,103518,ASUN,4-9,5.15,6.15,0.89,0.374,26.46,0.544,0.333,,14.69,12.62,11.77,-2.23,9.54,0.309,16.46,0.308,,,,,,,,
2014,1,Johns Hopkins,103519,Independent,11-5,7.44,6.13,0.826,0.57,30.63,0.659,0.545,,19.5,10.88,8.94,3.13,12.06,0.303,13.56,0.688,,,,,,,,
2014,1,Lafayette,103520,Patriot,2-11,2.85,6.23,0.774,0.394,25.69,0.727,0.204,,9.0,10.38,11.38,-5.23,6.15,0.198,14.92,0.154,,,,,,,,
2014,1,Lehigh,103521,Patriot,13-5,6.33,9.39,0.877,0.538,31.28,0.714,0.365,,16.89,9.83,7.22,3.33,10.56,0.285,15.44,0.722,,,,,,,,
2014,1,Loyola Maryland,103522,Patriot,15-2,7.53,8.06,0.918,0.525,36.0,0.686,0.442,,20.41,11.06,7.47,5.41,12.88,0.313,11.94,0.882,,,,,,,,
2014,1,Manhattan,103523,MAAC,5-10,3.33,7.13,0.73,0.379,27.87,0.59,0.306,,10.47,13.07,11.0,-3.87,7.13,0.253,15.93,0.333,,,,,,,,
2014,1,Marist,103524,MAAC,6-9,4.87,6.13,0.922,0.54,30.27,0.608,0.268,,15.87,10.8,11.67,-0.67,11.0,0.289,12.47,0.4,,,,,,,,
2014,1,Marquette,103525,Big East,6-10,4.56,6.19,0.883,0.441,26.44,0.467,0.411,,13.81,8.19,11.56,-2.31,9.25,0.287,12.56,0.375,,,,,,,,
2014,1,Maryland,103527,ACC,13-4,5.29,7.47,0.904,0.646,35.06,0.587,0.444,,16.65,9.65,7.24,4.12,11.35,0.283,13.71,0.765,,,,,,,,
2014,1,Massachusetts,103528,CAA,7-6,5.38,6.85,0.886,0.551,26.62,0.717,0.347,,14.54,10.54,9.69,-0.54,9.15,0.266,12.46,0.538,,,,,,,,
2014,1,Mercer,103529,ASUN,7-7,5.43,6.36,0.872,0.559,28.64,0.655,0.371,,14.93,12.0,10.86,-1.36,9.5,0.281,15.43,0.5,,,,,,,,
2014,1,Michigan,103530,ECAC,5-11,4.56,7.44,0.887,0.491,29.44,0.717,0.37,,14.38,10.31,12.56,-2.75,9.81,0.248,14.56,0.313,,,,,,,,
2014,1,Monmouth,103531,MAAC,0-13,2.77,8.46,0.837,0.296,26.15,0.656,0.267,,8.92,12.62,11.23,-5.08,6.15,0.182,15.38,0.0,,,,,,,,
2014,1,Mount St. Mary's,103532,NEC,1-15,2.69,6.63,0.776,0.47,26.38,0.477,0.311,,8.38,12.69,12.0,-6.31,5.69,0.205,18.19,0.063,,,,,,,,
2014,1,Navy,103553,Patriot,4-10,4.5,7.71,0.839,0.559,29.29,0.667,0.179,,13.43,10.64,9.36,-0.43,8.93,0.243,14.5,0.286,,,,,,,,
2014,1,North Carolina,103533,ACC,10-5,6.2,6.87,0.87,0.484,32.6,0.731,0.444,,19.2,10.53,8.4,4.6,13.0,0.329,12.2,0.667,,,,,,,,
2014,1,Notre Dame,103534,ACC,12-6,6.06,6.83,0.868,0.552,30.72,0.576,0.522,,17.89,9.44,9.56,2.28,11.83,0.319,14.33,0.667,,,,,,,,
2014,1,Ohio St.,103535,ECAC,6-8,6.07,6.64,0.918,0.455,28.0,0.611,0.255,,15.29,8.93,8.57,0.64,9.21,0.287,14.14,0.429,,,,,,,,
2014,1,Penn,103537,Ivy League,11-4,5.87,6.87,0.873,0.484,30.67,0.74,0.349,,16.47,11.0,9.27,1.33,10.6,0.291,17.73,0.733,,,,,,,,
2014,1,Penn St.,103536,CAA,7-6,5.0,7.62,0.884,0.6,30.15,0.667,0.35,,15.31,10.62,8.92,1.38,10.31,0.289,14.0,0.538,,,,,,,,
2014,1,Princeton,103538,Ivy League,7-6,7.46,6.31,0.886,0.46,28.62,0.791,0.512,,19.46,11.0,10.92,1.08,12.0,0.301,12.08,0.538,,,,,,,,
2014,1,Providence,103539,Big East,4-11,4.0,7.93,0.844,0.391,27.93,0.648,0.396,,12.53,10.93,10.73,-2.2,8.53,0.246,15.67,0.267,,,,,,,,
2014,1,Quinnipiac,103540,MAAC,6-8,6.93,6.57,0.864,0.501,30.71,0.542,0.365,,17.5,13.86,11.07,-0.5,10.57,0.295,16.21,0.429,,,,,,,,
2014,1,Richmond,103541,ASUN,6-11,5.0,8.76,0.878,0.362,29.29,0.639,0.288,,14.0,10.35,10.47,-1.47,9.0,0.272,17.18,0.353,,,,,,,,
2014,1,Robert Morris,103542,NEC,5-9,4.71,10.14,0.835,0.387,29.07,0.7,0.364,,13.86,10.79,11.57,-2.43,9.14,0.251,14.86,0.357,,,,,,,,
2014,1,Rutgers,103543,Big East,8-8,7.44,6.06,0.878,0.577,32.56,0.638,0.261,,19.56,11.5,11.19,0.94,12.13,0.314,15.0,0.5,,,,,,,,
2014,1,Sacred Heart,103544,NEC,6-9,6.27,7.27,0.893,0.412,26.4,0.667,0.294,,16.4,12.27,11.67,-1.53,10.13,0.277,15.27,0.4,,,,,,,,
2014,1,Saint Joseph's,103546,NEC,11-4,5.0,8.87,0.869,0.499,28.47,0.793,0.241,,16.13,10.07,8.2,2.93,11.13,0.295,14.2,0.733,,,,,,,,
2014,1,Siena,103547,MAAC,11-6,6.0,5.65,0.884,0.58,31.47,0.447,0.411,,16.18,11.12,9.82,0.35,10.18,0.253,14.71,0.647,,,,,,,,
2014,1,St. John's (NY),103545,Big East,7-7,6.64,7.21,0.9,0.412,27.57,0.538,0.414,,18.07,11.71,11.93,-0.5,11.43,0.301,11.93,0.5,,,,,,,,
2014,1,Stony Brook,103548,America East,6-10,7.31,3.63,0.839,0.61,33.06,0.689,0.491,,18.94,10.44,12.19,-0.56,11.63,0.373,14.63,0.375,,,,,,,,
2014,1,Syracuse,103549,ACC,11-5,8.0,6.81,0.863,0.467,29.44,0.613,0.431,,21.0,11.44,11.69,1.31,13.0,0.353,12.13,0.688,,,,,,,,
2014,1,Towson,103550,CAA,8-7,4.53,5.8,0.883,0.402,24.47,0.736,0.308,,13.0,9.6,9.73,-1.27,8.47,0.257,12.0,0.533,,,,,,,,
2014,1,UAlbany,103494,America East,12-6,9.39,7.72,0.892,0.41,29.33,0.609,0.471,,25.33,13.56,11.33,4.61,15.94,0.378,13.39,0.667,,,,,,,,
2014,1,UMBC,103526,America East,8-7,6.73,5.8,0.861,0.582,33.07,0.593,0.41,,18.93,11.53,11.93,0.27,12.2,0.317,13.4,0.533,,,,,,,,
2014,1,VMI,103556,ASUN,2-12,2.64,9.07,0.801,0.442,29.5,0.609,0.256,,8.86,11.5,12.43,-6.21,6.21,0.215,18.29,0.143,,,,,,,,
2014,1,Vermont,103554,America East,5-8,5.85,10.15,0.825,0.427,32.46,0.746,0.35,,15.92,11.38,11.0,-0.92,10.08,0.254,18.08,0.385,,,,,,,,
2014,1,Villanova,103555,Big East,6-10,5.25,9.75,0.815,0.493,30.5,0.719,0.343,,14.69,10.13,10.25,-0.81,9.44,0.263,15.69,0.375,,,,,,,,
2014,1,Virginia,103557,ACC,10-6,7.69,9.56,0.851,0.472,37.75,0.551,0.526,,20.31,9.88,11.13,1.5,12.63,0.308,12.06,0.625,,,,,,,,
2014,1,Wagner,103558,NEC,2-11,3.38,10.23,0.804,0.414,27.92,0.627,0.141,,10.31,12.31,12.38,-5.46,6.92,0.233,18.23,0.154,,,,,,,,
2014,1,Yale,103559,Ivy League,9-5,6.57,7.29,0.87,0.579,29.5,0.698,0.368,,17.07,9.0,8.57,1.93,10.5,0.284,15.21,0.643,,,,,,,,
2014,2,Adams St.,103584,Independent,4-8,,10.08,,,,0.725,,,,,,,,,16.0,0.3333333333333333,,,,,,,,
2014,2,Adelphi,103561,NE10,17-2,6.26,7.58,,0.657,38.21,,,,19.58,,8.47,4.84,13.32,0.275,16.11,0.895,,,,,,,,
2014,2,Alderson Broaddus,103585,ECAC-II,0-14,,7.29,,,,,,,,16.29,,,,,,0.0,,,,,,,,
2014,2,American Int'l,103562,NE10,2-14,5.5,,,,,,,,,14.75,,,,0.282,,0.125,,,,,,,,
2014,2,Assumption,103563,NE10,5-9,5.64,,,0.566,31.07,,,,,,,,,,,0.3571428571428571,,,,,,,,
2014,2,Belmont Abbey,103596,Conference Carolinas,6-10,,9.19,,,,,,,15.69,,,,,0.281,15.56,0.375,,,,,,,,
2014,2,Bentley,103564,NE10,8-7,,7.4,,,,0.765,0.364,,,11.4,8.2,,,,,0.5333333333333333,,,,,,,,
2014,2,Brevard,103610,SAC,3-10,,,,,,0.812,,,,16.23,,,,0.281,14.46,0.2307692307692307,,,,,,,,
2014,2,Catawba,103586,SAC,7-8,,,,,30.13,,,,,13.0,,,,,16.67,0.4666666666666667,,,,,,,,
2014,2,Chestnut Hill,103607,ECC,7-6,6.69,,,,30.0,,0.431,,18.46,12.38,,,11.77,0.317,,0.5384615384615384,,,,,,,,
2014,2,Coker,103587,SAC,6-8,7.43,,,,,,,,19.07,14.0,,,11.64,0.339,15.36,0.4285714285714285,,,,,,,,
2014,2,Colorado Mesa,103600,Independent,9-3,6.58,11.25,,,31.25,0.792,0.409,,18.25,11.92,7.83,3.83,11.67,0.287,16.92,0.75,,,,,,,,
2014,2,Dist. Columbia,103565,ECC,3-8,,8.73,,,,,,,,16.09,,,,,,0.2727272727272727,,,,,,,,
2014,2,Dominican (CA),103611,Independent,9-3,7.58,8.25,,,,0.746,0.348,,22.67,11.67,9.17,5.92,15.08,0.366,12.58,0.75,,,,,,,,
2014,2,Dominican (NY),103599,ECC,1-13,,,,,,,,,,20.21,,,,,,0.0714285714285714,,,,,,,,
2014,2,Dowling,103597,ECC,12-5,6.71,9.18,,0.581,33.53,,0.397,,20.0,,8.29,5.0,13.29,0.333,14.71,0.706,,,,,,,,
2014,2,Fla. Southern,103567,Sunshine State,11-4,7.93,7.8,0.896,0.595,36.6,0.72,0.406,,22.47,,,5.27,14.53,0.324,15.93,0.733,,,,,,,,
2014,2,Florida Tech,103566,Sunshine State,3-9,6.25,7.33,,,32.83,,,,17.83,10.92,,,,0.277,16.0,0.25,,,,,,,,
2014,2,Franklin Pierce,103568,NE10,6-7,,8.69,,,31.54,0.726,,,,13.46,8.92,,,,15.54,0.4615384615384615,,,,,,,,
2014,2,LIU Post,103570,ECC,11-6,5.76,8.06,,,,,0.417,,16.47,,7.24,3.47,,,13.76,0.647,,,,,,,,
2014,2,Lake Erie,103598,ECAC-II,10-4,7.14,7.43,0.902,0.564,30.14,0.71,0.511,,19.71,,7.57,5.0,12.57,0.28,13.86,0.714,,,,,,,,
2014,2,Le Moyne,103569,NE10,13-3,8.56,8.13,,0.56,31.25,,0.447,,22.06,,6.81,6.69,13.5,0.333,15.44,0.813,,,,,,,,
2014,2,Lees-McRae,103604,Conference Carolinas,0-14,,,,,,,,,,12.57,,,,,,0.0,,,,,,,,
2014,2,Lenoir-Rhyne,103588,SAC,10-4,9.14,,0.898,,30.86,,0.383,,24.29,,8.07,7.07,15.14,0.384,13.0,0.714,,,,,,,,
2014,2,Limestone,103589,Conference Carolinas,19-1,7.8,9.0,0.904,0.649,40.85,0.765,0.429,,22.6,,6.45,8.35,14.8,0.37,15.95,0.95,,,,,,,,
2014,2,Lindenwood,103612,ECAC-II,5-7,,11.17,,0.562,40.58,0.72,0.4,,16.83,,,,,0.287,,0.4166666666666667,,,,,,,,
2014,2,Lynn,103606,Sunshine State,1-10,,,,,33.09,,,,,18.09,,,,,,0.0909090909090909,,,,,,,,
2014,2,Mars Hill,103590,SAC,7-8,7.07,,0.898,,31.07,,,,19.0,12.73,,,11.93,0.367,14.8,0.4666666666666667,,,,,,,,
2014,2,Mercy,103571,ECC,10-6,5.56,9.38,,0.616,36.25,,,,16.5,,8.25,2.69,,0.281,,0.625,,,,,,,,
2014,2,Mercyhurst,103572,ECAC-II,12-4,8.06,7.94,0.897,0.609,,0.75,0.431,,19.25,,6.19,5.0,,0.3,12.31,0.75,,,,,,,,
2014,2,Merrimack,103573,NE10,12-5,,,,,34.12,0.754,0.358,,16.18,,8.12,2.82,,,15.35,0.706,,,,,,,,
2014,2,Molloy,103574,ECC,8-6,5.93,8.21,,,,0.767,,,17.79,,8.79,3.07,11.86,0.289,14.86,0.5714285714285714,,,,,,,,
2014,2,Mount Olive,103591,Conference Carolinas,13-3,9.19,8.0,0.892,,30.13,0.829,0.529,,23.19,12.75,7.63,6.38,14.0,0.363,15.56,0.813,,,,,,,,
2014,2,New York Tech,103576,ECC,12-4,7.63,10.5,,0.551,31.31,0.84,0.444,,19.25,11.06,7.13,4.5,11.63,0.311,,0.75,,,,,,,,
2014,2,Notre Dame de Namur,103608,Independent,1-8,,,,,,,,,,14.33,,,,,14.67,0.1111111111111111,,,,,,,,
2014,2,Ohio Valley,103605,ECAC-II,2-14,,,,,,,,,,13.94,,,,,,0.125,,,,,,,,
2014,2,Pace,103577,NE10,5-7,6.33,,,0.595,31.92,,,,16.75,12.5,,,,0.287,,0.4166666666666667,,,,,,,,
2014,2,Pfeiffer,103578,Conference Carolinas,9-5,6.71,9.57,,,32.93,,,,18.57,11.14,,,11.86,0.303,15.93,0.643,,,,,,,,
2014,2,Post,103592,Independent,4-11,,,,,,,,,,12.6,,,,0.272,,0.2666666666666666,,,,,,,,
2014,2,Queens (NC),103601,SAC,12-5,5.35,,,0.54,,0.763,0.354,,16.76,12.71,,,,0.298,14.88,0.706,,,,,,,,
2014,2,Rockhurst,103593,Independent,2-8,,,,,,,,,,13.0,,,,,,0.2,,,,,,,,
2014,2,Rollins,103579,Sunshine State,6-9,5.93,9.73,,0.604,33.0,,,,16.07,,,,,,,0.4,,,,,,,,
2014,2,Saint Leo,103581,Sunshine State,8-7,,,,0.662,30.67,0.737,0.362,,,,8.2,,,,14.73,0.5333333333333333,,,,,,,,
2014,2,Saint Michael's,103582,NE10,4-10,,8.5,,,31.29,,,,,12.21,,,,,,0.2857142857142857,,,,,,,,
2014,2,Seton Hill,103609,ECAC-II,10-6,7.06,7.69,0.903,,,,0.433,,19.31,,,2.56,12.25,0.345,16.81,0.625,,,,,,,,
2014,2,Southern N.H.,103575,NE10,7-8,,,,,,,,,,15.13,,,,,,0.4666666666666667,,,,,,,,
2014,2,St. Anselm,103580,NE10,6-9,5.47,8.6,,0.549,35.73,,,,,,,,,,,0.4,,,,,,,,
2014,2,Tampa,103583,Sunshine State,16-3,7.74,7.63,,0.605,35.95,,,,21.84,,7.79,6.32,14.11,0.331,15.32,0.842,,,,,,,,
2014,2,Tusculum,103603,SAC,5-8,,,,,31.0,0.744,,,,13.0,,,,,,0.3846153846153846,,,,,,,,
2014,2,Walsh,103613,ECAC-II,4-7,,8.82,,,30.0,,,,,,,,,,16.09,0.3636363636363636,,,,,,,,
2014,2,Wheeling,103602,ECAC-II,10-3,5.62,8.15,0.916,0.537,,0.833,,,18.31,,7.92,4.77,12.69,0.334,14.92,0.769,,,,,,,,
2014,2,Wingate,103595,SAC,7-6,8.23,,0.892,0.615,36.15,0.791,0.373,,21.08,11.85,,2.92,12.85,0.31,,0.5384615384615384,,,,,,,,
2014,2,Young Harris,103616,Independent,6-9,,,,0.534,,,,,,11.2,,,,,,0.4,,,,,,,,
2015,1,Air Force,105982,ECAC,8-7,5.53,7.67,0.866,0.505,26.27,0.591,0.25,,15.2,9.47,8.73,0.93,9.67,0.271,13.73,0.533,,,,,,,,
2015,1,Army West Point,105983,Patriot,10-7,6.59,6.71,0.872,0.57,28.53,0.615,0.413,,17.82,8.82,8.0,3.24,11.24,0.308,13.59,0.588,,,,,,,,
2015,1,Bellarmine,105924,SoCon,4-8,5.42,7.25,0.859,0.478,26.67,0.74,0.217,,15.33,10.83,9.67,0.25,9.92,0.293,14.08,0.333,,,,,,,,
2015,1,Binghamton,105925,America East,4-9,6.0,5.15,0.89,0.53,25.85,0.516,0.344,,16.77,9.92,10.77,0.0,10.77,0.308,13.23,0.308,,,,,,,,
2015,1,Boston U.,105926,Patriot,6-8,6.64,7.29,0.784,0.637,30.86,0.682,0.375,,17.36,11.64,10.0,0.71,10.71,0.263,15.5,0.429,,,,,,,,
2015,1,Brown,105927,Ivy League,12-5,8.18,9.41,0.87,0.587,38.65,0.683,0.489,,22.12,11.94,10.41,3.53,13.94,0.293,16.41,0.706,,,,,,,,
2015,1,Bryant,105928,NEC,8-10,4.78,5.67,0.779,0.67,30.61,0.568,0.264,,13.06,11.22,8.22,0.06,8.28,0.269,16.06,0.444,,,,,,,,
2015,1,Bucknell,105929,Patriot,9-6,4.47,7.33,0.832,0.431,26.6,0.579,0.333,,14.07,9.8,9.93,-0.33,9.6,0.277,12.47,0.6,,,,,,,,
2015,1,Canisius,105930,MAAC,3-12,4.13,6.33,0.821,0.452,25.27,0.514,0.34,,12.0,10.13,11.0,-3.13,7.87,0.241,14.53,0.2,,,,,,,,
2015,1,Colgate,105931,Patriot,10-6,6.06,6.19,0.841,0.378,25.69,0.711,0.56,,16.63,9.75,9.38,1.19,10.56,0.353,12.38,0.625,,,,,,,,
2015,1,Cornell,105932,Ivy League,10-6,5.63,7.25,0.831,0.657,35.81,0.656,0.382,,17.13,9.06,9.94,1.56,11.5,0.263,14.5,0.625,,,,,,,,
2015,1,Dartmouth,105933,Ivy League,5-8,4.92,8.85,0.797,0.556,31.85,0.696,0.325,,13.69,10.15,12.38,-3.62,8.77,0.277,18.77,0.385,,,,,,,,
2015,1,Delaware,105934,CAA,5-10,5.0,6.07,0.827,0.462,26.27,0.653,0.302,,14.07,11.53,10.67,-1.6,9.07,0.285,13.73,0.333,,,,,,,,
2015,1,Denver,105935,Big East,17-2,8.21,5.26,0.856,0.665,30.16,0.571,0.603,,21.95,10.0,8.47,5.26,13.74,0.357,11.63,0.895,,,,,,,,
2015,1,Detroit Mercy,105936,MAAC,8-6,5.21,7.29,0.883,0.447,28.21,0.592,0.451,,15.14,15.14,10.21,-0.29,9.93,0.286,15.64,0.571,,,,,,,,
2015,1,Drexel,105937,CAA,7-8,4.8,6.33,0.875,0.54,27.73,0.672,0.364,,13.47,9.47,9.8,-1.13,8.67,0.225,14.0,0.467,,,,,,,,
2015,1,Duke,105938,ACC,12-6,8.11,6.61,0.876,0.562,37.0,0.569,0.375,,22.39,11.0,11.56,2.72,14.28,0.322,14.78,0.667,,,,,,,,
2015,1,Fairfield,105939,CAA,9-6,5.27,6.07,0.839,0.562,28.47,0.64,0.302,,14.87,10.47,7.47,2.13,9.6,0.28,14.67,0.6,,,,,,,,
2015,1,Furman,105940,SoCon,4-9,3.69,6.69,0.879,0.42,21.69,0.756,0.184,,10.92,12.23,9.23,-2.0,7.23,0.211,14.62,0.308,,,,,,,,
2015,1,Georgetown,105941,Big East,10-6,6.13,7.13,0.842,0.449,30.25,0.547,0.442,,17.75,13.19,10.88,0.75,11.63,0.299,12.31,0.625,,,,,,,,
2015,1,Hartford,105942,America East,7-8,6.0,7.33,0.814,0.534,31.93,0.517,0.25,,15.8,11.93,11.07,-1.27,9.8,0.287,16.4,0.467,,,,,,,,
2015,1,Harvard,105943,Ivy League,7-7,6.71,8.93,0.836,0.425,30.93,0.629,0.365,,19.0,13.21,12.29,0.0,12.29,0.316,15.86,0.5,,,,,,,,
2015,1,High Point,105991,SoCon,10-7,5.82,7.65,0.913,0.55,29.71,0.727,0.421,,16.65,12.94,9.76,1.06,10.82,0.304,13.35,0.588,,,,,,,,
2015,1,Hobart,105944,NEC,7-7,3.71,5.21,0.852,0.387,22.29,0.706,0.394,,12.14,12.07,9.36,-0.93,8.43,0.268,12.79,0.5,,,,,,,,
2015,1,Hofstra,105945,CAA,5-9,5.29,5.29,0.841,0.606,27.86,0.578,0.369,,14.79,8.14,8.0,1.5,9.5,0.255,11.43,0.357,,,,,,,,
2015,1,Holy Cross,105946,Patriot,6-7,4.85,5.23,0.806,0.468,25.69,0.622,0.367,,14.08,9.46,11.85,-2.62,9.23,0.305,13.69,0.462,,,,,,,,
2015,1,Jacksonville,105947,SoCon,4-8,5.83,5.83,0.87,0.524,26.58,0.613,0.315,,14.92,13.25,12.33,-3.25,9.08,0.274,14.75,0.333,,,,,,,,
2015,1,Johns Hopkins,105948,Big Ten,11-7,7.78,5.78,0.872,0.522,29.06,0.62,0.463,,20.78,9.83,10.5,2.5,13.0,0.331,11.61,0.611,,,,,,,,
2015,1,Lafayette,105949,Patriot,4-10,4.79,7.43,0.815,0.39,26.79,0.689,0.346,,13.86,11.07,12.21,-3.14,9.07,0.262,15.14,0.286,,,,,,,,
2015,1,Lehigh,105950,Patriot,7-9,5.88,7.69,0.858,0.457,29.44,0.645,0.484,,16.06,10.0,10.06,0.13,10.19,0.294,12.44,0.438,,,,,,,,
2015,1,Loyola Maryland,105952,Patriot,7-8,6.93,6.87,0.874,0.552,31.0,0.515,0.324,,18.13,10.47,10.33,0.87,11.2,0.273,11.6,0.467,,,,,,,,
2015,1,Manhattan,105953,MAAC,1-14,2.87,4.0,0.756,0.401,22.47,0.687,0.203,,7.8,11.67,14.53,-9.6,4.93,0.176,16.13,0.067,,,,,,,,
2015,1,Marist,105954,MAAC,14-4,7.06,6.44,0.859,0.528,29.11,0.711,0.56,,18.83,11.28,8.61,3.17,11.78,0.32,12.89,0.778,,,,,,,,
2015,1,Marquette,105955,Big East,10-6,5.25,6.06,0.869,0.432,24.88,0.633,0.385,,15.44,10.63,10.5,-0.31,10.19,0.302,11.31,0.625,,,,,,,,
2015,1,Maryland,105957,Big Ten,15-4,4.68,6.05,0.866,0.523,26.68,0.702,0.419,,14.89,9.68,7.05,3.16,10.21,0.262,10.74,0.789,,,,,,,,
2015,1,Massachusetts,105958,CAA,5-10,6.6,6.6,0.859,0.429,26.33,0.636,0.37,,16.33,10.73,10.73,-1.0,9.73,0.296,11.87,0.333,,,,,,,,
2015,1,Mercer,105959,SoCon,5-8,4.62,6.54,0.873,0.514,27.08,0.636,0.298,,12.92,12.77,10.85,-2.54,8.31,0.205,13.77,0.385,,,,,,,,
2015,1,Michigan,105960,Big Ten,5-8,4.31,8.92,0.843,0.446,27.62,0.675,0.375,,14.15,13.62,11.54,-1.69,9.85,0.267,13.77,0.385,,,,,,,,
2015,1,Monmouth,105961,MAAC,6-8,2.86,7.0,0.814,0.402,23.0,0.717,0.241,,9.5,11.86,7.64,-1.0,6.64,0.213,13.21,0.429,,,,,,,,
