org_id,team_name,conference,division,reason,detail,candidates_tried
593933,Dartmouth,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
593949,Harvard,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
593999,Penn,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
594066,Princeton,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
594037,Yale,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
593925,Canisius,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594940,Iona,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593968,Manhattan,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593970,Marist,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594042,Merrimack,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593988,Mount St. Mary's,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594003,Quinnipiac,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594068,Sacred Heart,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594012,Siena,MAAC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593927,Cleveland St.,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593938,Detroit Mercy,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593904,LIU,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594007,Robert Morris,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594032,VMI,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594036,Wagner,NEC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594022,Army West Point,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593915,Boston U.,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593922,Bucknell,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593929,Colgate,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593956,Holy Cross,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593962,Lafayette,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
594058,Lehigh,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
593966,Loyola Maryland,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
594025,Navy,Patriot,D1,no_team_hints,no by_org_id/by_team_name hint found,
493850,Furman,SoCon,D1,missing_conference_mapping,conference 'SoCon' not found in conference YAML,
493850,Furman,SoCon,D1,no_team_hints,no by_org_id/by_team_name hint found,
